"content","cmp_code","eu_code"
"… Südtirol bestimmt selbst  … Südtirol tol instës sües dezijiuns",NA,0
"Der Weg der Autonomie ist Garant für Sicherheit und Stabilität in Süd-tirol.","301",0
"Die Südtiroler Volkspartei hat diesen Weg vorangetrieben und maßgeblich gestaltet.","305",0
"Wir sind stolz auf Meilensteine wie das „Paket“ 1969 und das Zweite Autonomiestatut 1972.","305",0
"Nicht utopische Forderungen, sondern konkrete und machbare Schritte waren dabei stets der Schlüssel zum Erfolg.","305",0
"Die SVP verfolgt den Weg der maximalen Eigenständigkeit Südtirols","301",0
"und der Einbindung unseres Landes in die gesamteuropäische Entwicklung:","107",0
"Konsequent gehen wir den erfolgreichen Weg der Autonomie hin zur Vollautonomie weiter, mit der Perspektive eigenständiger europäischer Regionen.","305",0
"Wir kämpfen für mehr Freiraum, damit Südtirol seine Zukunft eigenständig gestalten und seine Chancen in Europa – an  der Schnittstelle zwischen deutschem und italienischem Kultur- und Wirtschaftsraum – nutzen kann.","301",0
"La SVP va inant sön le tru dl’autonomia, por arjunje l’autonomia plëna y  insciö podëi tó instësc les dezijiuns che reverda nosta Provinzia  y nosta jënt.",NA,0
"Der römische Zentralismus ist eine Gefahr für die soziale, wirtschaftliche und kulturelle Entwicklung Südtirols.","301",0
"Umso wichtiger ist es jetzt, die bereits  erreichte kulturelle, wirtschaftliche und soziale Eigenständigkeit abzusichern und weiter auszubauen.","301",0
"Vor allem aber müssen wir die Wirtschaftliche Entwicklung in  Südtirol durch die Übernahme erweiterter Zuständigkeiten von den Hemmnissen der staatlichen Verwaltung befreien.","301",0
"» I jun inant consecuënć le tru de suzès dl’autonomia por ruvé al’autonomia plëna«",NA,0
"Kulturelle Eigenständigkeit",NA,0
"Der Schutz der Volksgruppen ist der Ausgangspunkt unserer Autonomie.","607",0
"In  der Vergangenheit konnten wir sehr viel für die deutsch- und ladinischsprachige Minderheit erreichen: Wir haben unsere jeweils eigenen Schulen, der  ethnische Proporz garantiert eine gerechte Aufteilung der Ämter und Stellen  in der öffentlichen Verwaltung und eine angemessene Verteilung von öffentlichen Leistungen.","305",0
"Wir leben selbstbewusst unsere Traditionen, haben eine  starke Heimatverbundenheit und unsere Identität ist nicht mehr in unmittelbarer Gefahr.","603",0
"So kann die Verbindung von Tradition und Zeitgeist, von  gelebten Werten und offenheit unsere Kultur festigen und weiterentwickeln.","603",0
"Fortschritt statt Rückschritt",NA,0
"Diese Erfolge dürfen wir nun nicht aufs Spiel setzen, sondern wir müssen weiterhin geschlossen dafür eintreten.","411",0
"Das recht auf Existenz und kultu-relle Entfaltung der deutschen und ladinischen Minderheit muss dauerhaft  gesichert bleiben: Sprache und Kultur, Schule und Bildung, Tradition und Brauchtum sind dabei Kernpunkte.","607",0
"Dazu zählt auch, dass wir Lehrinhalte, Organisation und Gestaltung der Bildungseinrichtungen in Südtirol selbst  festlegen.","607",0
"Ökonomische Eigenständigkeit",NA,0
"Südtirol steht Wirtschaftlich besser da als der italienische Staat und als viele andere regionen Europas.","410",0
"Das ist das Ergebnis des Einsatzes der Menschen in Südtirol und einer umsichtigen Finanz- und Wirtschaftspolitik.","401",0
"Aber anstatt diese Leistungen anzuerkennen, wurden die Bürgerinnen und  Bürger Südtirols mit immer neuen Abgaben und regelungen belastet.","401",0
"Damit muss Schluss sein.","401",0
"Finanzen und Steuern in Südtirols Hände",NA,0
"Südtirol muss seine Zukunft auf eine verlässliche Finanzplanung bauen können.","301",0
"Deshalb fordern wir die Steuerhoheit: Südtirol soll die Steuern selbst einheben und zukünftig auch selbst festlegen können und nur das nach rom abliefern, was dem italienischen Staat für seine Leistungen zu-steht.","301",0
"Durch diese Umkehrung der derzeitigen regelung wird die Autono-mie gestärkt, Berechenbarkeit hergestellt und die Abhängigkeit Südtirols von rom deutlich verringert.","301",0
"Dadurch kann auch für eine gleichmäßige Verteilung der Steuerlast in Südtirol gesorgt werden.","301",0
"Mehr Freiraum für Südtirols Wirtschaft",NA,0
"Wir brauchen eigenständige, zu Südtirol passende Rahmenbedingungen für die Wirtschaft und keine sinnlosen bürokratischen Hürden des Staates.","303",0
"Wir sind der Überzeugung, dass wir in Südtirol alle Zuständigkeiten besser regeln als der überschuldete, schwerfällige italienische Staat.","301",0
"Gerade unsere Unternehmen leiden unter den bürokratischen regeln des italienischen Staates und alle unter dem hohen Steuerdruck.","303",0
"Das behindert  eine positive wirtschaftliche Entwicklung unseres Landes und erschwert die Schaffung neuer Arbeitsplätze.","303",0
"Probleme wie Jugendarbeitslosigkeit und Einstellungsstopps sind die Folgen dieser regelungen und der Über-bürokratisierung.","303",0
"Solche Fehlentwicklungen können wir am wirkungsvollsten bei uns im Land selbst bekämpfen.","303",0
"Der Abbau zentralstaatlicher Hürden  und mehr Eigenständigkeit in der Wirtschaftspolitik bringen eine Steigerung der Wettbewerbsfähigkeit, die Schaffung neuer Arbeitsplätze und ein  höheres Lohnniveau für die Südtirolerinnen und Südtiroler!","301",0
"»Wenn Europa angenommen werden soll, dann muss es vor allem ein Europa der  Heimaten werden«",NA,0
"Arbeitnehmer und Arbeitnehmerinnen, Mittelstand fördern",NA,0
"Die Schere zwischen Arm und reich hat sich auch in Südtirol weiter ausei-nander bewegt.","503",0
"Viele Familien tun sich zunehmend schwer, mit ihrem Einkommen das Monatsende zu erreichen.","503",0
"Eine Senkung der Steuern auf Arbeit und die Anpassung der Löhne an die gestiegenen Lebenshaltungs-kosten verhindern, dass Menschen unter die Armutsgrenze rutschen.","503",0
"Südtirol in Europa",NA,0
"Wenn Europa angenommen werden soll, dann muss es vor allem ein Euro-pa der Heimaten werden, in dem Kommunen, Länder und regionen, aber auch die verschiedenen Volksgruppen immer mehr Gewicht erhalten.","607",0
