"text","cmp_code","eu_code"
"Difendere e valorizzare i cardini dell’Autonomia: lo Statuto Speciale, l’identità e il rispetto della diversità e delle Comunità locali","301",NA
"Promuovere una riforma costituzionale per razionalizzare la rappresentanza politica e per riaffermare il ruolo del regionalismo","301",NA
"Dare attuazione al Federalismo fiscale","301",NA
"e rinegoziare il Patto di stabilità","301",NA
"Promuovere il patto delle Autonomie del nord","301",NA
"Rivendicare un ruolo attivo in Europa","301",NA
"Dare voce alle politiche per la montagna e in favore dell’ambiente","501",NA
"Famiglia e politiche sociali al centro dell’azione di governo","504",NA
"Giovani e lavoro per uscire dalla crisi","701",NA
"Riposizionare la Valle d’Aosta come snodo delle reti di collegamento internazionali","411",NA
"Confermare e rilanciare il ruolo del Casino de la Vallée","408",NA
